accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0.9283301830291748,0.17947067320346832,0.9268492460250854,0.9300621747970581,0.9560975432395935,0.11188197880983353,0.9534903168678284,0.9589760899543762
0.9532922506332397,0.12005592882633209,0.9534210562705994,0.9531484246253967,0.9597248435020447,0.10105513036251068,0.9615738987922668,0.9577253460884094
0.9586169719696045,0.10578674077987671,0.9586818218231201,0.9585447907447815,0.9617677927017212,0.09675049036741257,0.9663971662521362,0.9568081498146057
0.962387204170227,0.09735090285539627,0.9637289047241211,0.9609391689300537,0.9649780988693237,0.09382854402065277,0.9715856313705444,0.9579755067825317
0.9650317430496216,0.08755108714103699,0.9659802913665771,0.9640125632286072,0.965228259563446,0.09287947416305542,0.9736819863319397,0.9563078284263611
0.9677655696868896,0.08320075273513794,0.9684681296348572,0.967014491558075,0.9607254266738892,0.10377413779497147,0.9818609952926636,0.938797652721405
0.9702314138412476,0.07786630094051361,0.9714776873588562,0.9689086079597473,0.9671461582183838,0.08996640890836716,0.9755538702011108,0.95830899477005
0.9716251492500305,0.07336318492889404,0.9720632433891296,0.9711600542068481,0.9691473841667175,0.08824898302555084,0.9692268967628479,0.9690653085708618
0.9735727906227112,0.06842251121997833,0.9751174449920654,0.9719462394714355,0.967896580696106,0.08741768449544907,0.970487117767334,0.9651463627815247
0.9750201106071472,0.06444191932678223,0.9758699536323547,0.9741262197494507,0.9668126106262207,0.08972124755382538,0.973606288433075,0.9596431255340576
